employee_id,name,age,gender,department,position,years_at_company,salary,performance_score,overtime_hours,satisfaction_score,has_resigned
29,직원29,39,M,개발,과장,11,125952000,90.2,21,2.75,0
30,직원30,32,F,영업,사원,8,91170000,89.2,26,1.01,1
31,직원31,39,F,영업,과장,6,153424000,73.9,18,4.5,0
32,직원32,39,M,재무,사원,10,98490000,95.5,20,4.51,1
33,직원33,46,M,기획,차장,7,104860000,85.5,25,4.23,0
34,직원34,42,F,영업,사원,7,111770000,94.1,23,1.99,0
35,직원35,40,F,마케팅,사원,4,47600000,74.4,27,2.49,0
36,직원36,26,M,개발,사원,3,101304000,65.8,16,3.98,0
37,직원37,44,M,개발,차장,24,256296000,73.3,24,2.96,0
38,직원38,40,F,영업,과장,7,90800000,78.2,16,1.62,1
39,직원39,27,F,영업,과장,4,161984000,81.3,15,1.97,0
40,직원40,54,M,재무,대리,13,114153000,80.4,17,4.89,0
41,직원41,26,F,영업,대리,20,81068000,81.8,21,1.6,1
42,직원42,59,F,기획,사원,17,88980000,93.7,22,3.9,0
43,직원43,50,F,영업,과장,7,179760000,66.8,29,2.91,0
44,직원44,29,F,재무,사원,17,116800000,72.6,24,3.99,0
45,직원45,26,M,개발,부장,4,218280000,95.5,15,3.64,0
46,직원46,44,M,재무,과장,11,123568000,82.4,19,2.76,0
47,직원47,58,F,영업,대리,3,112372000,83.3,20,2.42,1
48,직원48,58,F,개발,사원,11,49380000,79.1,23,4.02,0
49,직원49,44,F,개발,과장,3,91795200,82.0,16,2.29,0
50,직원50,49,F,기획,사원,12,118420000,67.9,20,4.15,0
51,직원51,44,M,개발,사원,1,58512000,81.9,28,3.72,0
52,직원52,49,F,마케팅,사원,4,83630000,99.9,14,3.31,1
53,직원53,38,F,마케팅,과장,14,184512000,82.6,30,2.48,1
54,직원54,36,M,영업,과장,1,102000000,61.8,23,1.82,1
55,직원55,29,M,재무,대리,14,74750000,91.9,27,3.84,0
56,직원56,26,F,마케팅,사원,13,62760000,75.9,13,1.37,1
57,직원57,40,M,마케팅,대리,13,44824000,66.1,10,4.88,0
58,직원58,54,M,기획,과장,24,136592000,94.5,19,4.91,0
59,직원59,48,F,인사,사원,15,71720000,67.9,20,1.52,1
60,직원60,54,F,재무,사원,17,119890000,96.8,12,1.42,1
61,직원61,35,M,마케팅,차장,12,129920000,77.7,21,2.65,1
62,직원62,38,F,개발,부장,22,155460000,89.7,18,4.85,0
63,직원63,47,M,마케팅,부장,23,158150000,81.9,21,2.6,0
64,직원64,40,M,인사,차장,14,236740000,70.3,14,2.46,1
65,직원65,45,M,개발,사원,12,44628000,86.8,21,3.81,0
66,직원66,28,F,개발,사원,18,54264000,98.3,19,1.71,1
67,직원67,57,F,개발,대리,4,152193600,90.8,13,2.45,0
68,직원68,38,M,마케팅,대리,14,125151000,84.2,23,2.17,0
69,직원69,43,M,재무,부장,19,101725000,99.6,22,3.41,0
70,직원70,29,F,개발,과장,13,164390400,70.6,22,1.65,1
71,직원71,55,M,영업,과장,23,171984000,62.5,20,3.19,0
72,직원72,42,M,기획,사원,18,78870000,61.3,19,4.43,1
73,직원73,55,F,개발,차장,11,184176000,88.4,20,3.06,0
74,직원74,54,F,영업,차장,6,103120000,93.2,28,3.73,0
75,직원75,45,F,기획,사원,9,109440000,85.4,25,1.3,1
76,직원76,54,F,기획,차장,12,142780000,96.2,23,2.8,0
77,직원77,28,M,개발,사원,19,103548000,87.9,22,1.38,1
78,직원78,29,F,개발,사원,14,121044000,74.8,18,3.4,0
79,직원79,34,F,개발,과장,15,155097600,67.3,14,2.12,1
80,직원80,51,M,인사,과장,11,150480000,97.0,16,2.15,0
81,직원81,40,M,인사,사원,6,98710000,64.1,15,1.31,1
82,직원82,54,M,영업,대리,14,47216000,81.7,27,2.24,1
83,직원83,37,F,마케팅,부장,3,129975000,72.6,22,3.03,0
84,직원84,45,M,개발,과장,19,160377600,70.9,19,3.34,0
85,직원85,39,F,영업,과장,20,94560000,85.8,21,1.27,1
86,직원86,44,M,마케팅,사원,11,36220000,69.2,22,3.61,0
87,직원87,44,F,인사,사원,24,90730000,96.7,19,2.96,0
88,직원88,29,M,마케팅,사원,17,33600000,76.2,16,3.15,0
89,직원89,56,F,마케팅,사원,17,93650000,87.1,24,4.33,0
90,직원90,30,F,개발,사원,23,136812000,89.1,20,2.37,0
91,직원91,54,M,개발,사원,3,83316000,87.3,21,1.7,0
92,직원92,50,M,개발,과장,14,151084800,96.1,19,3.21,1
93,직원93,37,F,개발,대리,7,173596800,69.2,20,4.78,0
94,직원94,53,M,마케팅,차장,19,77540000,63.4,22,3.07,0
95,직원95,29,F,개발,사원,3,93540000,62.2,29,4.33,1
96,직원96,49,F,개발,대리,2,168339600,95.1,19,4.03,0
97,직원97,37,F,인사,사원,17,55230000,98.9,20,3.07,0
98,직원98,48,M,마케팅,대리,9,120510000,72.1,17,3.59,0
99,직원99,55,F,영업,사원,22,115830000,87.7,21,2.63,0
100,직원100,44,F,인사,부장,6,240575000,60.4,21,3.12,0
101,직원101,32,F,영업,과장,24,129408000,67.5,17,3.03,0
102,직원102,33,F,기획,대리,21,137332000,87.6,21,3.84,0
103,직원103,45,M,개발,사원,9,120792000,62.6,17,2.64,0
104,직원104,44,M,인사,과장,5,152720000,78.7,17,1.4,1
105,직원105,39,F,기획,과장,2,85136000,86.5,21,4.15,0
106,직원106,50,M,재무,사원,22,111490000,90.6,21,3.74,0
107,직원107,35,M,개발,과장,15,213600000,78.2,20,4.8,0
108,직원108,35,F,마케팅,차장,9,226600000,85.2,19,2.71,1
109,직원109,51,M,개발,과장,19,216844800,81.6,13,1.31,1
110,직원110,54,M,영업,차장,10,166660000,62.1,29,1.49,0
111,직원111,43,M,인사,차장,4,233500000,89.7,21,4.09,0
112,직원112,58,M,마케팅,차장,10,217160000,66.9,22,1.27,1
113,직원113,47,M,영업,대리,8,95147000,61.3,20,4.63,0
114,직원114,25,M,영업,과장,22,134224000,78.0,17,2.13,0
115,직원115,27,F,마케팅,과장,13,77568000,94.6,21,4.6,0
116,직원116,27,M,재무,과장,7,99280000,66.0,19,4.09,0
117,직원117,52,F,인사,부장,7,129025000,60.5,18,4.48,0
118,직원118,38,F,개발,사원,4,53568000,64.4,20,1.86,1
119,직원119,54,F,영업,대리,15,47359000,74.5,21,3.38,0
120,직원120,29,M,개발,사원,12,100212000,83.2,18,1.37,1
121,직원121,39,M,영업,사원,16,75530000,67.7,20,1.81,1
122,직원122,38,F,기획,사원,6,95180000,92.1,22,2.24,1
123,직원123,38,F,재무,과장,9,139568000,90.1,19,3.96,0
124,직원124,32,F,마케팅,사원,3,109460000,87.8,13,1.1,1
125,직원125,32,M,개발,과장,8,69312000,79.5,22,4.61,0
126,직원126,43,M,개발,과장,7,140198400,74.6,32,1.0,1
127,직원127,56,M,영업,사원,4,45430000,75.0,19,2.51,0
128,직원128,55,F,개발,사원,13,53592000,80.1,23,1.32,1
129,직원129,53,M,영업,과장,19,147776000,63.1,26,4.08,0
130,직원130,35,M,개발,과장,7,80275200,87.3,19,1.57,1
131,직원131,37,F,마케팅,차장,10,102920000,74.1,23,4.54,0
132,직원132,51,M,개발,차장,12,126528000,69.0,27,3.12,0
133,직원133,43,F,기획,부장,3,188400000,71.1,13,4.79,0
134,직원134,50,M,인사,과장,24,59504000,67.2,20,2.16,0
135,직원135,33,F,마케팅,차장,12,153600000,96.1,22,2.82,0
136,직원136,52,M,개발,차장,19,155328000,66.8,18,3.78,0
137,직원137,56,F,영업,차장,15,132840000,95.3,18,4.33,0
138,직원138,27,M,개발,사원,8,36756000,82.9,18,2.69,0
139,직원139,56,F,영업,부장,12,88975000,94.7,26,4.57,1
140,직원140,29,F,재무,대리,20,135798000,79.0,23,1.47,1
141,직원141,32,M,영업,과장,6,75728000,97.1,21,3.83,0
142,직원142,38,M,영업,사원,10,118610000,68.5,23,2.39,0
143,직원143,27,F,영업,대리,2,89622000,82.2,22,1.41,0
144,직원144,48,M,기획,사원,24,45420000,65.0,25,2.55,0
145,직원145,37,F,기획,사원,13,54150000,77.9,23,4.52,0
146,직원146,53,F,영업,사원,7,90900000,82.8,15,4.92,0
147,직원147,32,M,마케팅,차장,8,164340000,84.2,21,2.57,0
148,직원148,55,M,마케팅,사원,23,83870000,74.6,18,4.55,0
149,직원149,50,M,개발,대리,16,127592400,63.1,27,3.04,0
150,직원150,42,F,영업,사원,11,111870000,86.2,23,3.87,0
151,직원151,42,F,영업,과장,4,154288000,79.5,27,1.18,1
152,직원152,31,M,개발,사원,17,127920000,65.5,16,3.23,0
153,직원153,40,F,개발,사원,16,65496000,97.4,22,1.28,1
154,직원154,57,F,마케팅,대리,19,117364000,98.2,25,2.07,0
155,직원155,27,M,재무,과장,23,135152000,94.3,24,3.27,0
156,직원156,28,F,영업,사원,11,75590000,93.8,20,4.23,0
157,직원157,28,F,영업,사원,7,57490000,63.9,22,3.24,0
158,직원158,33,F,마케팅,사원,13,49480000,99.7,20,4.74,0
159,직원159,41,M,영업,부장,19,232650000,76.0,11,4.24,0
160,직원160,41,M,마케팅,대리,17,146263000,66.5,19,1.62,1
161,직원161,57,F,영업,과장,22,177472000,92.5,18,2.56,0
162,직원162,44,M,개발,사원,13,138288000,69.0,9,3.67,0
163,직원163,38,F,마케팅,대리,12,41457000,81.0,17,4.75,0
164,직원164,46,M,개발,사원,7,108096000,65.1,21,4.95,0
165,직원165,51,F,마케팅,사원,1,104820000,79.0,19,4.05,0
166,직원166,27,F,기획,대리,1,42835000,82.3,19,3.3,0
167,직원167,48,F,개발,대리,20,177340800,77.8,14,4.03,0
168,직원168,54,F,마케팅,사원,23,111680000,62.8,29,2.09,1
169,직원169,32,M,영업,과장,14,60784000,79.4,19,2.13,0
170,직원170,46,F,재무,부장,15,299925000,78.8,13,3.62,0
171,직원171,49,F,마케팅,대리,11,130039000,70.5,9,4.49,0
172,직원172,34,M,인사,과장,24,182496000,96.9,19,4.88,0
173,직원173,53,M,재무,부장,9,142500000,76.7,25,2.37,1
174,직원174,25,F,마케팅,차장,17,235760000,94.6,19,4.19,0
175,직원175,45,F,마케팅,대리,4,115349000,64.4,18,4.41,0
176,직원176,48,M,마케팅,과장,20,123424000,72.8,26,3.49,0
177,직원177,33,F,재무,사원,19,94910000,67.1,18,2.39,0
178,직원178,50,F,개발,대리,7,176794800,76.3,17,3.48,0
179,직원179,33,F,마케팅,사원,1,58390000,64.5,20,3.34,0
180,직원180,44,F,영업,사원,9,65130000,77.6,14,3.43,0
181,직원181,59,F,영업,대리,13,53755000,74.2,18,3.48,0
182,직원182,33,F,마케팅,사원,24,93570000,68.9,21,4.39,0
183,직원183,46,F,영업,과장,2,83952000,85.7,23,1.68,1
184,직원184,25,F,개발,대리,2,148948800,98.0,19,2.47,1
185,직원185,29,F,마케팅,대리,24,97708000,68.3,20,3.34,0
186,직원186,33,M,영업,사원,15,71020000,88.5,18,2.13,0
187,직원187,43,M,기획,사원,17,45480000,89.7,20,4.91,0
188,직원188,32,M,개발,과장,13,183014400,79.9,11,2.05,1
189,직원189,56,F,재무,부장,7,187775000,95.9,16,2.88,0
190,직원190,37,F,영업,사원,9,58310000,98.7,31,3.51,0
191,직원191,44,F,개발,사원,12,72744000,74.5,21,1.32,1
192,직원192,54,M,인사,차장,3,219500000,86.0,13,4.28,0
193,직원193,34,M,개발,사원,23,72624000,86.5,22,3.28,0
194,직원194,55,F,기획,차장,22,204200000,76.1,17,1.13,1
195,직원195,49,M,재무,대리,15,85007000,72.7,21,4.61,0
196,직원196,53,M,개발,대리,7,55005600,97.3,10,1.16,1
197,직원197,48,F,개발,대리,23,90589200,91.6,20,3.06,0
198,직원198,45,F,마케팅,사원,1,47530000,64.6,14,1.2,1
199,직원199,33,M,마케팅,대리,14,128466000,64.8,21,1.28,0
200,직원200,26,F,마케팅,차장,19,93080000,96.9,23,4.55,0
201,직원201,28,M,마케팅,과장,16,125456000,63.3,18,4.06,1
202,직원202,32,M,영업,과장,10,112656000,87.5,17,1.79,0
203,직원203,56,M,개발,과장,1,154060800,69.1,14,3.48,0
204,직원204,38,F,재무,사원,5,119650000,61.4,10,4.18,0
205,직원205,37,M,재무,과장,3,187744000,62.4,14,4.56,0
206,직원206,45,M,마케팅,대리,17,96421000,74.9,12,2.87,1
207,직원207,48,F,재무,과장,18,191632000,63.1,19,4.59,0
208,직원208,42,F,개발,대리,21,119106000,83.9,16,3.03,0
209,직원209,50,M,개발,과장,19,112953600,85.9,24,3.75,0
210,직원210,56,F,영업,차장,22,177680000,74.9,17,4.92,0
211,직원211,57,F,마케팅,대리,22,44824000,89.7,16,1.94,1
212,직원212,55,M,영업,사원,18,63100000,79.6,18,1.67,1
213,직원213,42,F,재무,대리,16,98605000,77.2,19,2.37,0
214,직원214,59,M,기획,대리,2,144404000,76.3,17,1.66,1
215,직원215,36,F,영업,과장,15,118544000,77.2,25,2.14,0
216,직원216,49,F,인사,부장,13,271825000,98.7,23,3.97,1
217,직원217,55,M,개발,대리,13,141195600,87.3,17,2.91,1
218,직원218,34,M,개발,대리,16,180585600,72.6,23,2.5,0
219,직원219,58,F,인사,과장,8,52704000,89.4,20,2.47,0
220,직원220,27,F,마케팅,사원,11,42380000,73.2,20,1.78,0
221,직원221,32,F,마케팅,사원,8,110410000,65.0,30,2.79,0
222,직원222,56,M,마케팅,차장,22,116320000,79.0,22,3.5,1
223,직원223,53,F,영업,과장,10,65568000,90.0,26,1.56,1
224,직원224,46,M,개발,사원,23,56844000,75.1,16,4.89,0
225,직원225,44,F,영업,사원,1,51890000,94.8,20,2.77,0
226,직원226,30,F,개발,과장,12,110688000,75.5,15,4.79,0
227,직원227,53,F,개발,과장,9,81062400,74.0,24,1.54,1
228,직원228,41,F,마케팅,차장,5,190980000,99.9,26,4.07,0
229,직원229,55,F,개발,사원,9,40920000,79.3,22,3.47,0
230,직원230,58,M,재무,차장,16,118900000,92.2,19,4.28,0
231,직원231,28,M,개발,과장,18,213158400,92.2,16,3.4,0
232,직원232,26,M,개발,과장,8,149491200,97.1,22,4.85,0
233,직원233,36,F,영업,과장,23,60576000,63.4,25,3.51,0
234,직원234,59,M,마케팅,사원,11,51090000,70.8,19,4.14,0
235,직원235,30,M,개발,부장,20,253380000,90.7,22,4.51,0
236,직원236,32,F,개발,사원,19,106020000,82.5,15,3.86,0
237,직원237,45,F,기획,사원,4,49860000,82.4,11,3.1,0
238,직원238,59,M,영업,차장,20,222520000,66.6,18,2.09,0
239,직원239,39,M,마케팅,과장,10,164800000,71.2,21,4.42,1
240,직원240,31,M,마케팅,차장,24,174180000,80.9,23,2.92,0
241,직원241,39,M,개발,대리,13,84286800,71.1,17,3.48,1
242,직원242,30,M,마케팅,대리,20,146406000,68.4,16,1.32,1
243,직원243,41,M,영업,차장,14,148020000,63.5,18,2.99,0
244,직원244,28,M,재무,사원,21,97010000,66.2,25,3.79,0
245,직원245,46,F,개발,차장,2,151080000,90.8,19,3.34,0
246,직원246,56,M,재무,사원,4,119530000,88.8,16,2.79,0
247,직원247,46,F,개발,차장,7,122904000,61.8,18,1.89,0
248,직원248,51,F,개발,사원,19,78984000,68.1,12,2.24,1
249,직원249,39,F,개발,과장,17,138182400,82.4,26,3.8,0
250,직원250,46,M,개발,차장,16,208800000,72.9,21,1.9,0
251,직원251,52,M,기획,대리,13,133016000,92.9,19,3.49,0
252,직원252,33,F,마케팅,과장,24,116608000,91.4,18,3.36,1
253,직원253,58,M,개발,차장,24,98040000,95.7,14,4.88,0
254,직원254,33,M,기획,과장,22,186320000,82.5,23,1.24,1
255,직원255,39,F,재무,차장,23,112420000,74.1,26,1.43,1
256,직원256,44,M,인사,대리,18,153530000,84.2,18,3.02,1
257,직원257,32,F,기획,사원,21,118280000,63.6,19,3.11,0
258,직원258,52,F,개발,사원,12,64176000,60.4,15,1.16,1
259,직원259,43,F,재무,사원,23,78740000,60.7,21,4.3,0
260,직원260,40,F,영업,사원,1,60360000,76.3,14,2.98,0
261,직원261,35,M,재무,과장,15,85584000,69.1,15,2.39,0
262,직원262,32,F,인사,사원,3,87430000,66.3,19,2.28,0
263,직원263,57,M,마케팅,사원,6,74320000,84.6,24,4.45,0
264,직원264,34,M,인사,사원,14,91750000,99.8,23,1.79,1
265,직원265,42,M,개발,차장,23,246360000,67.1,11,1.64,1
266,직원266,59,M,마케팅,과장,6,145648000,81.9,19,1.85,1
267,직원267,27,F,개발,대리,1,161584800,64.8,18,3.5,0
268,직원268,51,F,기획,차장,20,100620000,97.4,16,4.24,1
269,직원269,52,F,개발,사원,6,50988000,71.7,16,2.32,1
270,직원270,30,F,영업,부장,8,245200000,95.1,21,1.69,1
271,직원271,38,F,마케팅,과장,15,104896000,71.3,23,1.84,1
272,직원272,31,M,기획,사원,14,115190000,92.2,15,3.48,0
273,직원273,34,F,마케팅,과장,16,191808000,68.4,19,1.98,0
274,직원274,39,M,인사,과장,20,132784000,71.7,22,4.51,0
275,직원275,55,M,재무,대리,23,79222000,67.7,14,1.42,0
276,직원276,53,F,마케팅,차장,16,119540000,70.6,32,1.0,1
277,직원277,41,M,마케팅,사원,19,39620000,93.4,18,1.35,1
278,직원278,53,M,인사,사원,24,87250000,85.6,15,4.38,0
279,직원279,39,F,기획,사원,1,84890000,76.2,32,2.6,0
280,직원280,50,F,인사,사원,4,42680000,98.9,23,4.83,0
281,직원281,36,F,개발,사원,24,99348000,78.6,18,2.35,1
282,직원282,49,M,재무,차장,10,67440000,98.8,19,1.85,0
283,직원283,29,F,마케팅,사원,20,73800000,67.9,21,3.25,0
284,직원284,28,F,영업,대리,18,138021000,96.2,18,3.15,1
285,직원285,55,M,재무,대리,2,120627000,60.6,22,3.36,0
286,직원286,27,F,개발,차장,4,74280000,81.8,19,2.39,1
287,직원287,27,M,인사,부장,15,184225000,76.9,20,1.02,1
288,직원288,50,M,영업,과장,4,111056000,81.0,17,1.14,1
289,직원289,41,F,재무,부장,16,250525000,82.1,25,3.66,0
290,직원290,34,M,개발,과장,15,133324800,75.6,15,3.09,0
291,직원291,26,M,마케팅,부장,18,221700000,99.9,26,4.28,0
292,직원292,48,F,재무,과장,7,134336000,99.1,17,2.2,0
293,직원293,35,F,개발,사원,15,132492000,98.5,18,4.26,0
294,직원294,48,F,개발,대리,22,48843600,99.2,18,2.7,1
295,직원295,59,M,기획,과장,11,164640000,91.7,24,1.39,1
296,직원296,47,M,개발,대리,19,148449600,99.5,14,4.91,0
297,직원297,56,F,기획,사원,8,89060000,95.7,21,3.05,0
298,직원298,47,F,개발,과장,24,73094400,76.6,17,3.52,0
299,직원299,58,F,마케팅,차장,1,61000000,91.4,21,3.68,0
300,직원300,43,M,인사,사원,3,82770000,96.5,21,2.45,0
301,직원301,26,F,영업,과장,5,48880000,88.5,16,3.99,0
302,직원302,26,M,영업,과장,18,106624000,76.9,21,4.48,0
303,직원303,39,F,영업,부장,12,93575000,62.6,13,2.55,0
304,직원304,45,M,재무,차장,12,180600000,92.4,21,3.63,0
305,직원305,59,M,개발,과장,21,213715200,98.1,23,4.03,0
306,직원306,29,F,마케팅,대리,19,40027000,74.5,21,1.76,1
307,직원307,51,M,개발,사원,9,71592000,66.1,19,2.33,1
308,직원308,48,M,영업,대리,11,87464000,73.1,30,1.44,0
309,직원309,31,F,개발,과장,17,144691200,83.3,20,3.41,0
310,직원310,30,F,마케팅,차장,16,62500000,72.7,21,4.2,0
311,직원311,57,M,마케팅,과장,4,141008000,84.4,25,3.44,1
312,직원312,41,M,개발,사원,10,136920000,98.7,15,1.72,0
313,직원313,54,M,개발,과장,22,75782400,86.8,11,3.19,0
314,직원314,32,F,영업,대리,15,46722000,74.5,18,4.34,0
315,직원315,31,M,마케팅,사원,19,80300000,97.4,25,2.21,1
316,직원316,30,M,재무,사원,3,31400000,82.6,21,4.33,0
317,직원317,28,F,영업,사원,21,60550000,65.1,19,4.14,0
318,직원318,25,F,개발,차장,23,172920000,80.0,18,1.09,1
319,직원319,39,F,영업,사원,5,81710000,86.1,17,1.96,0
320,직원320,55,F,개발,사원,11,129384000,93.5,17,3.17,0
321,직원321,49,F,인사,부장,24,141500000,97.5,23,3.87,1
322,직원322,57,M,기획,대리,5,128128000,72.7,21,4.52,0
323,직원323,59,M,영업,사원,7,90890000,66.2,18,3.56,0
324,직원324,29,M,영업,사원,6,83180000,63.0,25,2.52,0
325,직원325,29,F,개발,사원,13,66624000,89.5,17,1.74,1
326,직원326,41,F,마케팅,사원,2,66110000,91.8,12,4.04,0
327,직원327,38,F,재무,사원,19,110620000,76.4,26,1.83,1
328,직원328,53,M,개발,과장,11,77568000,75.8,23,3.78,0
329,직원329,32,F,개발,사원,20,138072000,98.2,21,1.72,0
330,직원330,58,F,마케팅,대리,5,137839000,96.7,24,1.36,1
331,직원331,25,F,인사,차장,9,143440000,69.3,23,2.0,0
332,직원332,53,M,마케팅,대리,6,77298000,91.2,13,2.14,0
333,직원333,53,F,기획,차장,17,124720000,84.9,22,3.59,0
334,직원334,29,F,개발,대리,19,104208000,66.2,17,1.64,1
335,직원335,56,M,마케팅,대리,23,101491000,74.3,18,4.72,0
336,직원336,48,F,인사,과장,8,72592000,67.1,15,3.22,0
337,직원337,43,F,개발,사원,7,82464000,71.8,16,2.96,0
338,직원338,36,F,영업,사원,5,48670000,84.6,22,2.74,0
339,직원339,25,M,개발,과장,15,79891200,75.0,25,3.27,0
340,직원340,31,F,개발,대리,10,107952000,75.8,20,1.09,0
341,직원341,41,F,개발,과장,24,166905600,81.6,17,4.96,0
342,직원342,58,M,기획,차장,16,137640000,63.5,20,3.23,0
343,직원343,31,M,영업,대리,9,139594000,89.6,15,1.14,1
344,직원344,41,F,인사,과장,7,183296000,76.1,24,3.36,0
345,직원345,27,M,마케팅,대리,11,121303000,79.2,13,2.75,1
346,직원346,53,F,영업,부장,9,204550000,99.0,17,1.1,1
347,직원347,46,M,마케팅,차장,17,90520000,73.8,24,4.7,0
348,직원348,53,F,기획,차장,9,222620000,85.9,15,1.04,1
349,직원349,29,F,인사,사원,3,73940000,75.7,22,3.31,1
350,직원350,54,F,인사,과장,22,66528000,95.8,19,4.85,0
351,직원351,47,M,개발,사원,8,88404000,93.9,15,1.95,0
352,직원352,45,M,영업,사원,19,76300000,69.7,19,2.02,0
353,직원353,50,F,마케팅,차장,20,130260000,87.7,20,1.0,1
354,직원354,45,F,기획,사원,16,41440000,62.6,19,1.27,1
355,직원355,44,F,개발,부장,7,92040000,98.5,27,1.18,1
356,직원356,47,F,개발,사원,7,80604000,74.0,17,4.29,0
357,직원357,28,M,마케팅,차장,20,154460000,93.3,18,4.35,0
358,직원358,45,M,개발,사원,13,86556000,72.7,18,3.91,0
359,직원359,45,F,개발,대리,3,146842800,85.3,16,2.41,1
360,직원360,25,M,재무,사원,12,64660000,99.3,27,4.29,0
361,직원361,39,M,영업,과장,24,96416000,95.1,19,3.16,0
362,직원362,41,M,재무,대리,8,129974000,66.4,19,2.22,0
363,직원363,38,F,재무,과장,13,91952000,81.9,20,2.75,0
364,직원364,43,F,개발,사원,20,123252000,73.9,21,1.26,1
365,직원365,58,M,영업,사원,16,91710000,77.4,18,4.78,0
366,직원366,30,M,개발,사원,7,82260000,73.4,21,3.48,1
367,직원367,30,F,기획,대리,4,152789000,73.4,25,3.92,0
368,직원368,29,F,마케팅,차장,12,104060000,81.7,15,3.71,0
369,직원369,31,F,마케팅,차장,17,128380000,67.7,32,2.67,1
370,직원370,57,M,마케팅,사원,1,41440000,81.5,27,1.07,1
371,직원371,37,M,마케팅,과장,17,91184000,71.2,18,3.1,1
372,직원372,25,M,개발,과장,2,68352000,71.6,17,4.29,1
373,직원373,37,F,마케팅,사원,6,41870000,89.5,20,1.18,1
374,직원374,51,F,인사,대리,12,79729000,61.2,17,4.82,0
375,직원375,31,F,재무,대리,11,83343000,75.2,15,2.7,1
376,직원376,27,F,마케팅,사원,21,46890000,76.3,17,2.16,0
377,직원377,49,F,마케팅,사원,11,74070000,79.4,18,3.13,0
378,직원378,57,M,재무,사원,18,54230000,86.8,24,4.2,0
379,직원379,41,M,개발,과장,8,83884800,74.8,20,2.9,0
380,직원380,38,M,재무,사원,7,90070000,68.5,16,3.58,0
381,직원381,47,F,개발,사원,14,116736000,95.4,20,3.0,0
382,직원382,48,M,영업,대리,16,153036000,99.2,19,3.53,0
383,직원383,53,F,영업,사원,12,39760000,60.8,25,1.55,1
384,직원384,51,M,영업,사원,9,72720000,81.9,21,1.15,0
385,직원385,47,M,재무,차장,20,189940000,73.7,29,1.55,1
386,직원386,55,F,개발,사원,23,37416000,71.1,28,2.14,0
387,직원387,41,M,마케팅,과장,21,72672000,73.4,17,2.01,1
388,직원388,27,M,영업,대리,16,102206000,85.6,20,3.46,0
389,직원389,29,M,재무,과장,21,96688000,67.6,18,2.82,0
390,직원390,39,M,개발,과장,19,76262400,96.5,12,1.16,1
391,직원391,30,M,재무,사원,16,39150000,78.6,15,1.14,1
392,직원392,34,M,마케팅,차장,9,192420000,73.0,25,1.36,1
393,직원393,56,M,개발,대리,13,55941600,90.6,21,2.41,0
394,직원394,47,F,인사,차장,5,230840000,60.7,23,1.02,1
395,직원395,41,M,개발,대리,22,134550000,77.3,28,2.98,0
396,직원396,44,F,영업,부장,19,258850000,74.2,17,2.44,1
397,직원397,39,M,개발,과장,10,145747200,73.5,21,3.22,0
398,직원398,46,F,마케팅,부장,7,139050000,73.5,18,3.88,0
399,직원399,30,F,영업,대리,9,127907000,61.3,26,2.0,1
400,직원400,28,M,영업,대리,14,149032000,66.1,20,1.63,1
401,직원401,47,F,마케팅,과장,15,94832000,65.7,23,2.11,1
402,직원402,43,F,마케팅,차장,13,183900000,99.5,15,1.01,1
403,직원403,55,M,개발,부장,10,278280000,60.9,25,1.48,0
